no,date,category,project,customer,company,rank,budget,bid_price,price_score,tech_score,total_score,price_score_origin,price_score_max,tech_score_origin
47,2022-04-22,IPCC,이천시 민원콜센터 시스템 구축 용역,경기도 이천시,주식회사 티앤아이씨티,1,706830100,682797877,87.801,90.48144444,90.2134,8.7801,10,81.4333
48,2022-04-22,IPCC,이천시 민원콜센터 시스템 구축 용역,경기도 이천시,주식회사 보다컴,2,706830100,599500000,100,88.48144444,89.6333,10,10,79.6333
49,2022-04-22,IPCC,이천시 민원콜센터 시스템 구축 용역,경기도 이천시,주식회사 소나텍,3,706830100,671488595,89.279,83,83.6279,8.9279,10,74.7
50,2022-04-06,IPCC,2022 SOS생명의전화 전화상담시스템(콜센터) 재구축 입찰,서울생명의전화,주식회사 보다컴,1,250000000,229900000,94,91.77777778,92,9.4,10,82.6
51,2022-04-06,IPCC,2022 SOS생명의전화 전화상담시스템(콜센터) 재구축 입찰,서울생명의전화,(주)이씨에스텔레콤,2,250000000,249700000,87,88,87.9,8.7,10,79.2
52,2022-04-06,IPCC,2022 SOS생명의전화 전화상담시스템(콜센터) 재구축 입찰,서울생명의전화,주식회사 나스카랩,3,250000000,217500000,100,72.22222222,75,10,10,65
53,2022-02-09,IPCC,경상남도 민원 콜센터 시스템 구축 용역,경상남도,주식회사 티앤아이씨티,1,507530000,477078200,,,,,,
54,2021-04-30,IPCC,순천시 민원콜센터 시스템 구축사업,전라남도 순천시,에이플시스템즈(주),1,857900000,815004300,98.947,95.59255556,95.928,9.8947,10,86.0333
55,2021-04-30,IPCC,순천시 민원콜센터 시스템 구축사업,전라남도 순천시,주식회사 티앤아이씨티,2,857900000,806426000,100,86.74077778,88.0667,10,10,78.0667
56,2019-09-06,IPCC,가스안전콜센터 시스템 구축 용역,한국가스안전공사,(주)이씨에스텔레콤,1,750500000,682000000,93.537,96.02222222,95.7737,9.3537,10,86.42
57,2019-09-06,IPCC,가스안전콜센터 시스템 구축 용역,한국가스안전공사,(주)브리지텍,2,750500000,727980000,87.629,95.93333333,95.1029,8.7629,10,86.34
58,2019-09-06,IPCC,가스안전콜센터 시스템 구축 용역,한국가스안전공사,주식회사 부뜰정보시스템,3,750500000,637925000,100,92.88888889,93.6,10,10,83.6
59,2019-11-15,IPCC,광주시 민원상담콜센터 시스템 구축 사업,경기도 광주시,주식회사 아리시스,1,908327000,853827380,95.745,95.07411111,95.1412,9.5745,10,85.5667
60,2019-11-15,IPCC,광주시 민원상담콜센터 시스템 구축 사업,경기도 광주시,에이플시스템즈(주),2,908327000,817493600,100,94.18522222,94.7667,10,10,84.7667
61,2019-03-13,IPCC,군포시 민원콜센터 시스템 구축 사업,경기도 군포시,주식회사 아리시스,1,891250000,802125000,89.762,94.03333333,93.6062,8.9762,10,84.63
62,2019-03-13,IPCC,군포시 민원콜센터 시스템 구축 사업,경기도 군포시,에이플시스템즈(주),2,891250000,855602000,84.151,93.537,92.5984,8.4151,10,84.1833
63,2019-03-13,IPCC,군포시 민원콜센터 시스템 구축 사업,경기도 군포시,주식회사커너스,3,891250000,720000000,100,82.88888889,84.6,10,10,74.6
64,2018-11-08,상담어플리케이션,서울주택도시공사 콜센터 상담어플리케이션 구축 용역,서울주택도시공사,(주)브리지텍,1,285638000,270000000,89.63,95.33333333,94.763,8.963,10,85.8
65,2018-11-08,상담어플리케이션,서울주택도시공사 콜센터 상담어플리케이션 구축 용역,서울주택도시공사,주식회사 유비커스,2,285638000,253000000,95.652,92.44444444,92.7652,9.5652,10,83.2
66,2018-11-08,상담어플리케이션,서울주택도시공사 콜센터 상담어플리케이션 구축 용역,서울주택도시공사,(주)사인포스트커뮤니케이션,3,285638000,269742000,89.715,90.11111111,90.0715,8.9715,10,81.1
67,2018-11-08,상담어플리케이션,서울주택도시공사 콜센터 상담어플리케이션 구축 용역,서울주택도시공사,주식회사 리베고,4,285638000,242000000,100,78.44444444,80.6,10,10,70.6
68,2018-10-02,IPCC,경남교육 민원콜센터 시스템 구축 용역,경상남도교육청,주식회사 세정아이앤씨,1,173070000,158983000,100,94.68522222,95.2167,10,10,85.2167
69,2018-10-02,IPCC,경남교육 민원콜센터 시스템 구축 용역,경상남도교육청,퓨렌스 주식회사,2,173070000,159000000,99.989,91.64811111,92.4822,9.9989,10,82.4833
70,2018-06-29,IPCC,콜센터시스템 구축 용역,재단법인 서울특별시 120다산콜재단,주식회사 아리시스,1,4660606000,,100,97.23333333,97.51,10,10,87.51
71,2018-06-29,IPCC,콜센터시스템 구축 용역,재단법인 서울특별시 120다산콜재단,주식회사 디비아이엔씨,2,4660606000,,95.649,87.27555556,88.1129,9.5649,10,78.548
72,2018-06-04,IPCC,민원콜센터 시스템 구축,경기도 김포시,에이플시스템즈(주),1,946770000,880496100,95.57,95.28977778,95.3178,9.557,10,85.7608
73,2018-06-04,IPCC,민원콜센터 시스템 구축,경기도 김포시,주식회사 리베고,2,946770000,841489176,100,88.31022222,89.4792,10,10,79.4792
74,2018-05-14,상담어플리케이션,연수원 콜센터 상담어플리케이션 구축,한국해양수산연수원,퓨렌스 주식회사,1,100650000,80550000,,,,,,
75,2017-11-20,IPCC,고객지원센터(콜센터) 시스템 재구축,한국자산관리공사,(주)브리지텍,1,606557000,605000000,100,93.64811111,94.2833,10,10,84.2833
76,2017-11-20,IPCC,고객지원센터(콜센터) 시스템 재구축,한국자산관리공사,인콤정보통신(주),2,606557000,605500000,99.917,89.59444444,90.6267,9.9917,10,80.635
77,2024-03-18,전국대표번호,공영홈쇼핑 전국대표번호 서비스 사업자 선정,(주)공영홈쇼핑,주식회사 엘지유플러스,1,9789978456,1114749898,,,,,,
78,2024-03-18,전국대표번호,공영홈쇼핑 전국대표번호 서비스 사업자 선정,(주)공영홈쇼핑,주식회사 케이티,2,9789978456,1226832777,,,,,,
79,2023-05-03,전국대표번호,2023년 상담센터 대표번호 서비스,한국장학재단,에스케이브로드밴드 주식회사,1,247000000,148200000,95,92,92.3,9.5,10,82.8
80,2023-05-03,전국대표번호,2023년 상담센터 대표번호 서비스,한국장학재단,주식회사 케이티,2,247000000,148200000,95,89,89.6,9.5,10,80.1
81,2023-06-12,전국대표번호,전국대표번호(1577-1000) 서비스 사업자 선정,국민건강보험공단,주식회사 케이티,1,,,0,93.875,93.875,0,0,93.875
82,2023-06-12,전국대표번호,전국대표번호(1577-1000) 서비스 사업자 선정,국민건강보험공단,에스케이브로드밴드 주식회사,2,,,0,89.75,89.75,0,0,89.75
83,2021-05-21,전국대표번호,전국대표번호(1588-0075) 통신사업자 선정,근로복지공단본부,주식회사 케이티,1,452919600,271751800,85,93.958375,92.1667,17,20,75.1667
84,2021-05-21,전국대표번호,전국대표번호(1588-0075) 통신사업자 선정,근로복지공단본부,에스케이브로드밴드 주식회사,2,452919600,271751760,85,89.791625,88.8333,17,20,71.8333
85,2021-05-21,전국대표번호,전국대표번호(1588-0075) 통신사업자 선정,근로복지공단본부,주식회사 엘지유플러스,3,452919600,271751770,85,87.708375,87.1667,17,20,70.1667
86,2017-11-02,STT,콜센터 음성인식 기술(STT) 도입,한국주택금융공사,(주)와이즈넛,1,214125000,190300000,90.691,92.6,92.4091,9.0691,10,83.34
87,2017-11-02,STT,콜센터 음성인식 기술(STT) 도입,한국주택금융공사,에이블컴 주식회사,2,214125000,172584750,100,90.37255556,91.3353,10,10,81.3353
88,2019-07-30,STT,1357중소기업통합콜센터 음성인식변환 솔루션(STT) 도입,중소벤처기업부,주식회사 마음에이아이,1,200000000,187000000,100,92.83333333,93.55,10,10,83.55
89,2019-07-30,STT,1357중소기업통합콜센터 음성인식변환 솔루션(STT) 도입,중소벤처기업부,(주)브리지텍,2,200000000,198000000,94.444,91.6,91.8844,9.4444,10,82.44
90,2020-05-18,STT,녹취시스템 개선 및 STT시스템 도입,한국대학교육협의회,(주)서울정보시스템,1,165000000,161898000,,,,,,
91,2023-12-26,AICC,범정부 AI 기반 통합콜센터 서비스 구축 2차,한국지능정보사회진흥원,주식회사 아리시스,1,10713000000,10605870000,99.993,100,99.9993,9.9993,10,90
92,2023-12-26,AICC,범정부 AI 기반 통합콜센터 서비스 구축 2차,한국지능정보사회진흥원,(주)이씨에스텔레콤,2,10713000000,10605100000,100,98.33333333,98.5,10,10,88.5
93,2023-04-11,AICC,인공지능(AI) 기반 모니터링 콜 서비스 사업자 선정,국민건강보험공단,주식회사 케이티,1,60884000,50399360,84.967,0,84.967,84.967,100,0
94,2023-04-11,AICC,인공지능(AI) 기반 모니터링 콜 서비스 사업자 선정,국민건강보험공단,에스케이텔레콤(주),2,60884000,51291728,86.471,0,86.471,86.471,100,0
95,2022-12-23,AICC,범정부 AI기반 통합콜센터 서비스 구축 1차,한국지능정보사회진흥원,주식회사 아리시스,1,7670000000,7593300000,100,100,100,10,10,90
96,2022-12-23,AICC,범정부 AI기반 통합콜센터 서비스 구축 1차,한국지능정보사회진흥원,(주)이씨에스텔레콤,2,7670000000,7593300000,100,98.33333333,98.5,10,10,88.5
97,2017-07-11,IPCC,차세대 1332 통합콜센터 재구축 사업,금융감독원,(주)이씨에스텔레콤,1,951794000,,92.763,93.87155556,93.7607,9.2763,10,84.4844
98,2017-07-11,IPCC,차세대 1332 통합콜센터 재구축 사업,금융감독원,지에스네오텍 주식회사,2,951794000,,100,91.81455556,92.6331,10,10,82.6331
99,2017-07-11,IPCC,차세대 1332 통합콜센터 재구축 사업,금융감독원,(주)브리지텍,3,951794000,,94.46,89.31433333,89.8289,9.446,10,80.3829
100,2017-07-11,IPCC,차세대 1332 통합콜센터 재구축 사업,금융감독원,삼성에스디에스 주식회사,4,951794000,,92.332,88.64311111,89.012,9.2332,10,79.7788
101,2021-06-11,챗봇,중소기업통합콜센터 인공지능 상담시스템(챗봇) 구축,중소벤처기업부,(주)브리지텍,1,1600000000,1646000000,,,,,,
102,2016-02-17,IPCC,중소기업청 1357 중소기업통합콜센터 종합상담서비스 인프라 구축,중소기업청,(주)브리지텍,1,368187870,365000000,100,95.20366667,95.6833,10,10,85.6833
103,2016-02-17,IPCC,중소기업청 1357 중소기업통합콜센터 종합상담서비스 인프라 구축,중소기업청,인콤정보통신(주),2,368187870,366000000,99.727,90.07222222,91.0377,9.9727,10,81.065
